branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,asynchronous,1000,32,92.4674,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,0,0,1827
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,asynchronous,1000,32,92.6304,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,1,0,1764
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,asynchronous,1000,32,92.9929,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,2,0,1819
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,asynchronous,1000,32,92.8072,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,1,0,1844
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,asynchronous,1000,32,92.7476,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,1,0,1845
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,asynchronous,1000,32,87.402,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,0,0,1871
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,asynchronous,1000,32,87.1106,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,5,0,1764
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,asynchronous,1000,32,86.8631,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,1,0,1859
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,asynchronous,1000,32,86.8173,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,0,0,1792
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,asynchronous,1000,32,86.8962,16384,6380463,172,10,0,5,0,106,10,6380634,6380625,16384,9,0,1813
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,asynchronous,1000,32,80.2769,16384,6380455,172,2,0,1,0,14,2,6380627,6380625,16384,3,0,1751
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,asynchronous,1000,32,80.5529,16384,6380457,173,4,1,2,0,19,5,6380629,6380625,16384,4,0,1768
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,asynchronous,1000,32,80.8475,16384,6380466,172,13,0,10,0,156,13,6380638,6380625,16384,20,0,1721
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,asynchronous,1000,32,80.2731,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,3,0,1759
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,asynchronous,1000,32,80.2032,16384,6380455,173,2,1,1,0,10,3,6380627,6380625,16384,2,0,1706
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,synchronous,1000,32,93.8213,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,1,0,1858
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,synchronous,1000,32,94.4291,16384,6380459,173,6,1,3,0,48,7,6380631,6380625,16384,5,0,1826
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,synchronous,1000,32,93.5546,16384,6380455,172,2,0,2,0,40,2,6380627,6380625,16384,2,0,1805
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,synchronous,1000,32,93.8491,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,0,0,1847
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,3,multiset,3,,synchronous,1000,32,93.8785,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,0,0,1876
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,synchronous,1000,32,88.1166,16384,6380454,172,1,0,1,0,14,1,6380626,6380625,16384,2,0,1797
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,synchronous,1000,32,87.7391,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,2,0,1841
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,synchronous,1000,32,87.6711,16384,6380454,172,1,0,1,0,16,1,6380627,6380625,16384,4,0,1867
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,synchronous,1000,32,88.042,16384,6380453,172,0,0,0,0,0,0,6380625,6380625,16384,0,0,1837
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,4,multiset,4,,synchronous,1000,32,87.2141,16384,6380455,172,2,0,2,0,40,2,6380627,6380625,16384,4,0,1875
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,synchronous,1000,32,81.6859,16384,6380469,172,16,0,11,0,174,16,6380641,6380625,16384,27,0,1724
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,synchronous,1000,32,81.9614,16384,6380454,172,1,0,1,0,14,1,6380626,6380625,16384,5,0,1772
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,synchronous,1000,32,81.0785,16384,6380454,172,1,0,1,0,19,1,6380626,6380625,16384,3,0,1850
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,synchronous,1000,32,80.9725,16384,6380460,172,7,0,7,0,141,7,6380633,6380625,16384,22,0,1831
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_10k_ba.dat,15000,6,multiset,6,,synchronous,1000,32,81.4488,16384,6380462,172,9,0,4,0,57,9,6380633,6380625,16384,10,0,1798
