branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,asynchronous,1000,32,35.1825,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1798
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,asynchronous,1000,32,34.9995,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1630
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,asynchronous,1000,32,35.1991,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1523
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,asynchronous,1000,32,35.1478,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1634
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,asynchronous,1000,32,34.8087,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1690
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,asynchronous,1000,32,31.3723,16384,2529148,55,9,0,2,0,42,9,2529203,2529194,16384,4,0,1238
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,asynchronous,1000,32,31.4545,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,2,0,1429
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,asynchronous,1000,32,31.292,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,3,0,1364
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,asynchronous,1000,32,31.5881,16384,2529142,55,3,0,2,0,41,3,2529197,2529194,16384,4,0,1387
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,asynchronous,1000,32,31.137,16384,2529142,55,3,0,3,0,54,3,2529197,2529194,16384,4,0,1423
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,10000,3,multiset,3,,asynchronous,1000,32,59.5557,16384,4240851,114,0,0,0,0,0,0,4240965,4240965,16384,1,0,1721
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,10000,3,multiset,3,,asynchronous,1000,32,59.477,16384,4240851,114,0,0,0,0,0,0,4240965,4240965,16384,1,0,1824
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,10000,3,multiset,3,,asynchronous,1000,32,59.5066,16384,4240851,114,0,0,0,0,0,0,4240965,4240965,16384,1,0,1757
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,10000,3,multiset,3,,asynchronous,1000,32,59.174,16384,4240851,114,0,0,0,0,0,0,4240965,4240965,16384,0,0,1824
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,10000,3,multiset,3,,asynchronous,1000,32,59.6578,16384,4240852,114,1,0,1,0,19,1,4240966,4240965,16384,1,0,1788
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,10000,6,multiset,6,,asynchronous,1000,32,51.8149,16384,4240852,114,1,0,1,0,30,1,4240966,4240965,16384,2,0,1637
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,10000,6,multiset,6,,asynchronous,1000,32,51.9149,16384,4240852,114,1,0,1,0,5,1,4240966,4240965,16384,9,0,1605
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,10000,6,multiset,6,,asynchronous,1000,32,52.112,16384,4240891,115,40,1,17,0,249,41,4241004,4240965,16384,27,0,1505
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,10000,6,multiset,6,,asynchronous,1000,32,52.193,16384,4240856,114,5,0,4,0,53,5,4240970,4240965,16384,8,0,1425
master,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,10000,6,multiset,6,,asynchronous,1000,32,52.2055,16384,4240856,115,5,1,2,0,13,6,4240970,4240965,16384,8,0,1571
HashingPOC,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,asynchronous,1000,32,35.9402,16384,2529143,55,4,0,6,0,116,4,2529200,2529194,16384,0,5,1588
