branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,asynchronous,1000,32,34.9872,16384,2529140,55,1,0,1,0,14,1,2529195,2529194,16384,1,0,1687
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,asynchronous,1000,32,35.5072,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1693
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,asynchronous,1000,32,35.1536,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1684
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,asynchronous,1000,32,35.1444,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1742
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,asynchronous,1000,32,34.9933,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1630
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,4,multiset,4,,asynchronous,1000,32,33.1233,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1620
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,4,multiset,4,,asynchronous,1000,32,33.0456,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1751
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,4,multiset,4,,asynchronous,1000,32,32.9981,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1626
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,4,multiset,4,,asynchronous,1000,32,33.2146,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1566
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,4,multiset,4,,asynchronous,1000,32,33.1756,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1621
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,asynchronous,1000,32,31.3362,16384,2529142,55,3,0,2,0,40,3,2529197,2529194,16384,3,0,1356
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,asynchronous,1000,32,31.3877,16384,2529141,55,2,0,1,0,14,2,2529196,2529194,16384,1,0,1415
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,asynchronous,1000,32,31.2271,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1415
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,asynchronous,1000,32,31.1224,16384,2529140,55,1,0,1,0,14,1,2529195,2529194,16384,2,0,1614
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,asynchronous,1000,32,30.9032,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1230
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,synchronous,1000,32,35.6552,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1855
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,synchronous,1000,32,35.8621,16384,2529141,55,2,0,1,0,10,2,2529197,2529194,16384,1,0,1586
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,synchronous,1000,32,35.3584,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1573
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,synchronous,1000,32,35.4903,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1688
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,3,multiset,3,,synchronous,1000,32,35.4483,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1737
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,4,multiset,4,,synchronous,1000,32,33.4989,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1738
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,4,multiset,4,,synchronous,1000,32,33.91,16384,2529140,55,1,0,1,0,14,1,2529195,2529194,16384,1,0,1626
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,4,multiset,4,,synchronous,1000,32,33.7281,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1440
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,4,multiset,4,,synchronous,1000,32,33.4223,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,0,0,1743
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,4,multiset,4,,synchronous,1000,32,33.8394,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1567
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,synchronous,1000,32,31.7771,16384,2529169,55,30,0,9,0,104,30,2529224,2529194,16384,14,0,1550
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,synchronous,1000,32,32.0126,16384,2529142,55,3,0,3,0,32,3,2529197,2529194,16384,5,2,1492
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,synchronous,1000,32,31.5573,16384,2529140,55,1,0,1,0,9,1,2529195,2529194,16384,2,0,1419
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,synchronous,1000,32,31.6267,16384,2529141,55,2,0,1,0,14,2,2529196,2529194,16384,1,0,1553
SynGVT,epidemic,mpirun-np2-hostolaf,honi./epidemic_sim-mmodel_100k_ba.dat,6000,6,multiset,6,,synchronous,1000,32,31.6077,16384,2529139,55,0,0,0,0,0,0,2529194,2529194,16384,1,0,1609
